Symbol,Date,Open,High,Low,Close,Volume
AAPL,2026-03-13,255.4800,256.3300,249.5200,250.1200,36930000
AAPL,2026-03-16,252.1100,253.8900,249.8800,252.8200,32074200
AAPL,2026-03-17,252.9600,255.1300,252.1800,254.2300,32361600
AAPL,2026-03-18,252.6300,254.9400,249.0000,249.9400,35757900
AAPL,2026-03-19,249.4000,251.8300,247.3000,248.9600,34864100
AAPL,2026-03-20,247.9800,249.2000,246.0000,247.9900,88331100
AAPL,2026-03-23,253.9700,254.6000,250.2800,251.4900,40546100
AAPL,2026-03-24,250.3500,254.8300,249.5500,251.6400,45152300
AAPL,2026-03-25,254.1000,255.0000,251.6000,252.6200,28476700
AAPL,2026-03-26,252.1200,257.0000,250.7700,252.8900,41796700
AAPL,2026-03-27,253.9000,255.4900,248.0700,248.8000,47842500
